Round	Average_Trust
0	0.48
1	0.46
2	0.44
3	0.42
4	0.4
5	0.38
6	0.36
7	0.34
8	0.32
9	0.3
10	0.32
11	0.34
12	0.36
13	0.34
14	0.32
15	0.3
16	0.28
17	0.3
18	0.28
19	0.3
20	0.28
21	0.3
22	0.28
23	0.26
24	0.24
25	0.22
26	0.2
27	0.18
28	0.16
29	0.14
30	0.12
31	0.1
32	0.12
33	0.1
34	0.08
35	0.1
36	0.08
37	0.06
38	0.04
39	0.02
40	0
41	0.02
42	0
43	0
44	0.02
45	0
46	0
47	0
48	0
49	0.02
50	0
51	0
52	0
53	0
54	0.02
55	0
56	0
57	0
58	0
59	0.02
60	0
61	0.02
62	0
63	0
64	0.02
65	0.04
66	0.02
67	0.04
68	0.02
69	0
70	0
71	0
72	0
73	0.02
74	0.04
75	0.06
76	0.04
77	0.06
78	0.08
79	0.06
80	0.04
81	0.06
82	0.08
83	0.06
84	0.04
85	0.02
86	0.04
87	0.02
88	0
89	0.02
90	0
91	0
92	0
93	0.02
94	0
95	0
96	0
97	0.02
98	0
99	0
100	0
101	0.02
102	0
103	0
104	0.02
105	0
106	0.02
107	0.04
108	0.02
109	0
110	0
111	0.02
112	0.04
113	0.02
114	0
115	0.02
116	0.04
117	0.06
118	0.04
119	0.06
120	0.04
121	0.06
122	0.04
123	0.02
124	0.04
125	0.02
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0.02
138	0
139	0.02
140	0.04
141	0.06
142	0.08
143	0.06
144	0.04
145	0.06
146	0.08
147	0.06
148	0.04
149	0.02
150	0.04
151	0.06
152	0.08
153	0.06
154	0.04
155	0.06
156	0.04
157	0.02
158	0
159	0
160	0
161	0.02
162	0.04
163	0.02
164	0.04
165	0.02
166	0
167	0
168	0.02
169	0.04
170	0.02
171	0
172	0
173	0
174	0
175	0
176	0.02
177	0
178	0.02
179	0.04
180	0.06
181	0.04
182	0.02
183	0
184	0.02
185	0
186	0
187	0.02
188	0
189	0
190	0.02
191	0
192	0.02
193	0.04
194	0.06
195	0.08
196	0.1
197	0.12
198	0.14
199	0.16
200	0.14
201	0.12
202	0.1
203	0.12
204	0.1
205	0.08
206	0.06
207	0.04
208	0.06
209	0.08
210	0.1
211	0.12
212	0.14
213	0.12
214	0.14
215	0.16
216	0.14
217	0.12
218	0.1
219	0.08
220	0.06
221	0.08
222	0.06
223	0.08
224	0.06
225	0.08
226	0.06
227	0.04
228	0.02
229	0.04
230	0.06
231	0.08
232	0.1
233	0.08
234	0.06
235	0.04
236	0.06
237	0.04
238	0.02
239	0
240	0.02
241	0
242	0
243	0
244	0.02
245	0
246	0.02
247	0.04
248	0.06
249	0.04
250	0.02
251	0.04
252	0.02
253	0
254	0.02
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0.02
265	0
266	0
267	0
268	0.02
269	0
270	0.02
271	0
272	0
273	0.02
274	0
275	0
276	0.02
277	0
278	0.02
279	0
280	0.02
281	0
282	0
283	0.02
284	0.04
285	0.06
286	0.04
287	0.02
288	0
289	0.02
290	0.04
291	0.06
292	0.08
293	0.06
294	0.08
295	0.1
296	0.08
297	0.06
298	0.04
299	0.02
300	0.04
301	0.02
302	0.04
303	0.06
304	0.08
305	0.1
306	0.12
307	0.14
308	0.12
309	0.14
310	0.12
311	0.1
312	0.12
313	0.14
314	0.16
315	0.18
316	0.16
317	0.14
318	0.16
319	0.18
320	0.2
321	0.22
322	0.2
323	0.22
324	0.24
325	0.26
326	0.28
327	0.3
328	0.28
329	0.3
330	0.32
331	0.3
332	0.28
333	0.26
334	0.28
335	0.3
336	0.32
337	0.34
338	0.36
339	0.34
340	0.36
341	0.34
342	0.36
343	0.38
344	0.36
345	0.34
346	0.32
347	0.34
348	0.32
349	0.34
350	0.32
351	0.3
352	0.32
353	0.3
354	0.28
355	0.26
356	0.28
357	0.3
358	0.32
359	0.34
360	0.36
361	0.34
362	0.36
363	0.38
364	0.4
365	0.42
366	0.44
367	0.46
368	0.48
369	0.46
370	0.44
371	0.46
372	0.48
373	0.46
374	0.44
375	0.46
376	0.48
377	0.5
